選奨年度,選奨年NO,対象構造物,読み,受賞理由,都道府県,市町村,都道府県2,市町村2,竣工年,北緯,東経,行った回数,行った日,プレートの有無,施設1,所在地1,竣工年1,施設2,所在地2,竣工年2,施設3,所在地3,竣工年3,施設4,所在地4,竣工年4,施設5,所在地5,竣工年5,施設6,所在地6,竣工年6,施設7,所在地7,竣工年7,施設8,所在地8,竣工年8,施設9,所在地9,竣工年9,施設10,所在地10,竣工年10,施設11,所在地11,竣工年11,施設12,所在地12,竣工年12,施設13,所在地13,竣工年13,施設14,所在地14,竣工年14,施設15,所在地15,竣工年15
2000,1,小樽港北防波堤,,廣井勇による小樽築港の要となった施設（コンクリートを用いた日本初の本格的な防波堤）,北海道,小樽市,,,明治41年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,2,野蒜築港関連事業,,オランダ技師の提言を受けて明治政府が実施した最初の直轄港湾事業（現存最古の洋式閘門とわが国を代表する運河群）,宮城県,東松島市,,,,,,,,,野蒜築港跡地,東松島市,明治17年,石井閘門,石巻市,明治13年,北上運河,東松島市,明治13年,東名運河,東松島市,明治17年,貞山運河,仙台市,明治23年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,3,帝都を飾るツイン・ゲイト,,近代橋梁技術の粋を集めて造られた隅田川震災復興橋梁群の中核的存在（日本初の100ｍ超スパンの橋と美しさを追求した特殊な吊橋）,東京都,江東区,,,,,,1,,,永代橋,江東区,大正15年,清洲橋,江東区,昭和 3年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,4,猿島要塞,,初期の代表的な軍事要塞（環東京湾要塞で観音埼に次いで造られ、明治10年代の煉瓦構造の特徴が良く出た保存状態の良好な要塞）,神奈川県,横須賀市,,,明治17年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,5,木曽川ケレップ水制群,,デ・レーケの木曽三川改修事業の枢要である木曽川付替えを技術的に可能にした水制工（戦前で最大規模の水制群）,愛知県,愛西市,,,明治44年,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6,阪急大宮駅と大宮・西院間の地下線路,,阪急・京都線の大宮駅～西院駅間の地下線路区間（東京の銀座線に次いで全国で２番目、関西最初の地下路線）,京都府,京都市,,,昭和 6年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,7,大川・中之島の橋梁群,,第一次大阪都市計画事業によって大川・中之島一帯に架けられた５橋（当時最大スパンの鋼アーチ、戦前の三大カンティレバー橋の一つ、景観に配慮した三連アーチ、戦前では珍しいデザインの一般公募の優勝作品）,大阪府,大阪市,,,昭和 5年,,,1,,,桜宮橋,,昭和 5年,天満橋,,昭和 9年,天神橋,,昭和10年,大江橋,,昭和10年,淀屋橋,,昭和10年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,8,京橋,,鋼管柱橋脚を有する唯一かつ最古級の大型鋼Ｉ桁橋（明治・大正期の鋼桁の雰囲気をこれほど残した橋は他にない）,岡山県,岡山市,,,大正 6年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,9,大谷川砂防堰堤,,四国唯一の明治期の砂防堰堤（三段で緩やかな曲線を描くデ・レーケが関与した大規模砂防堰堤）,徳島県,北川村,,,明治19年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,10,河内（貯水池）堰堤及び南河内橋,,官営八幡製鐵所の工業用水関連施設（戦前で最も高い貯水池ダムと現存唯一のレンズトラス橋）,福岡県,北九州市,,,昭和 2年,33.82736643,130.8010127,1,2025/12/29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,1,函館市の水道施設群,,近代水道として横浜に次いで古い配水池と、日本初のバットレスダムを有する水道施設,北海道,函館市,,,,,,,,,―元町配水場,,明治22年,―笹流ダム,,大正12年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,2,大湊第一水源地堰堤,,意匠的に石積アーチを取り入れた、明治期を代表する水道用堰堤,青森県,むつ市,,,明治43年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
